 # Step    Magnetization_per_site
    100100   -0.04882812
    100200   -0.04882812
    100300   -0.04882812
    100400   -0.04882812
    100500   -0.04882812
    100600   -0.04882812
    100700   -0.04882812
    100800   -0.04882812
    100900   -0.04882812
    101000   -0.04882812
    101100   -0.04882812
    101200   -0.04882812
    101300   -0.04882812
    101400   -0.04882812
    101500   -0.04882812
    101600   -0.04882812
    101700   -0.04882812
    101800   -0.04882812
    101900   -0.04882812
    102000   -0.04882812
    102100   -0.04882812
    102200   -0.04882812
    102300   -0.04882812
    102400   -0.04882812
    102500   -0.04882812
    102600   -0.04882812
    102700   -0.04882812
    102800   -0.04882812
    102900   -0.04882812
    103000   -0.04882812
    103100   -0.04882812
    103200   -0.04882812
    103300   -0.04882812
    103400   -0.04882812
    103500   -0.04882812
    103600   -0.04882812
    103700   -0.04882812
    103800   -0.04882812
    103900   -0.04882812
    104000   -0.04882812
    104100   -0.04882812
    104200   -0.04882812
    104300   -0.04882812
    104400   -0.04882812
    104500   -0.04882812
    104600   -0.04882812
    104700   -0.04882812
    104800   -0.04882812
    104900   -0.04882812
    105000   -0.04882812
    105100   -0.04882812
    105200   -0.04882812
    105300   -0.04882812
    105400   -0.04882812
    105500   -0.04882812
    105600   -0.04882812
    105700   -0.04882812
    105800   -0.04882812
    105900   -0.04882812
    106000   -0.04882812
    106100   -0.04882812
    106200   -0.04882812
    106300   -0.04882812
    106400   -0.04882812
    106500   -0.04882812
    106600   -0.04882812
    106700   -0.04882812
    106800   -0.04882812
    106900   -0.04882812
    107000   -0.04882812
    107100   -0.04882812
    107200   -0.04882812
    107300   -0.04882812
    107400   -0.04882812
    107500   -0.04882812
    107600   -0.04882812
    107700   -0.04882812
    107800   -0.04882812
    107900   -0.04882812
    108000   -0.04882812
    108100   -0.04882812
    108200   -0.04882812
    108300   -0.04882812
    108400   -0.04882812
    108500   -0.04882812
    108600   -0.04882812
    108700   -0.04882812
    108800   -0.04882812
    108900   -0.04882812
    109000   -0.04882812
    109100   -0.04882812
    109200   -0.04882812
    109300   -0.04882812
    109400   -0.04882812
    109500   -0.04882812
    109600   -0.04882812
    109700   -0.04882812
    109800   -0.04882812
    109900   -0.04882812
    110000   -0.04882812
    110100   -0.04882812
    110200   -0.04882812
    110300   -0.04882812
    110400   -0.04882812
    110500   -0.04882812
    110600   -0.04882812
    110700   -0.04882812
    110800   -0.04882812
    110900   -0.04882812
    111000   -0.04882812
    111100   -0.04882812
    111200   -0.04882812
    111300   -0.04882812
    111400   -0.04882812
    111500   -0.04882812
    111600   -0.04882812
    111700   -0.04882812
    111800   -0.04882812
    111900   -0.04882812
    112000   -0.04882812
    112100   -0.04882812
    112200   -0.04882812
    112300   -0.04882812
    112400   -0.04882812
    112500   -0.04882812
    112600   -0.04882812
    112700   -0.04882812
    112800   -0.04882812
    112900   -0.04882812
    113000   -0.04882812
    113100   -0.04882812
    113200   -0.04882812
    113300   -0.04882812
    113400   -0.04882812
    113500   -0.04882812
    113600   -0.04882812
    113700   -0.04882812
    113800   -0.04882812
    113900   -0.04882812
    114000   -0.04882812
    114100   -0.04882812
    114200   -0.04882812
    114300   -0.04882812
    114400   -0.04882812
    114500   -0.04882812
    114600   -0.04882812
    114700   -0.04882812
    114800   -0.04882812
    114900   -0.04882812
    115000   -0.04882812
    115100   -0.04882812
    115200   -0.04882812
    115300   -0.04882812
    115400   -0.04882812
    115500   -0.04882812
    115600   -0.04882812
    115700   -0.04882812
    115800   -0.04882812
    115900   -0.04882812
    116000   -0.04882812
    116100   -0.04882812
    116200   -0.04882812
    116300   -0.04882812
    116400   -0.04882812
    116500   -0.04882812
    116600   -0.04882812
    116700   -0.04882812
    116800   -0.04882812
    116900   -0.04882812
    117000   -0.04882812
    117100   -0.04882812
    117200   -0.04882812
    117300   -0.04882812
    117400   -0.04882812
    117500   -0.04882812
    117600   -0.04882812
    117700   -0.04882812
    117800   -0.04882812
    117900   -0.04882812
    118000   -0.04882812
    118100   -0.04882812
    118200   -0.04882812
    118300   -0.04882812
    118400   -0.04882812
    118500   -0.04882812
    118600   -0.04882812
    118700   -0.04882812
    118800   -0.04882812
    118900   -0.04882812
    119000   -0.04882812
    119100   -0.04882812
    119200   -0.04882812
    119300   -0.04882812
    119400   -0.04882812
    119500   -0.04882812
    119600   -0.04882812
    119700   -0.04882812
    119800   -0.04882812
    119900   -0.04882812
    120000   -0.04882812
    120100   -0.04882812
    120200   -0.04882812
    120300   -0.04882812
    120400   -0.04882812
    120500   -0.04882812
    120600   -0.04882812
    120700   -0.04882812
    120800   -0.04882812
    120900   -0.04882812
    121000   -0.04882812
    121100   -0.04882812
    121200   -0.04882812
    121300   -0.04882812
    121400   -0.04882812
    121500   -0.04882812
    121600   -0.04882812
    121700   -0.04882812
    121800   -0.04882812
    121900   -0.04882812
    122000   -0.04882812
    122100   -0.04882812
    122200   -0.04882812
    122300   -0.04882812
    122400   -0.04882812
    122500   -0.04882812
    122600   -0.04882812
    122700   -0.04882812
    122800   -0.04882812
    122900   -0.04882812
    123000   -0.04882812
    123100   -0.04882812
    123200   -0.04882812
    123300   -0.04882812
    123400   -0.04882812
    123500   -0.04882812
    123600   -0.04882812
    123700   -0.04882812
    123800   -0.04882812
    123900   -0.04882812
    124000   -0.04882812
    124100   -0.04882812
    124200   -0.04882812
    124300   -0.04882812
    124400   -0.04882812
    124500   -0.04882812
    124600   -0.04882812
    124700   -0.04882812
    124800   -0.04882812
    124900   -0.04882812
    125000   -0.04882812
    125100   -0.04882812
    125200   -0.04882812
    125300   -0.04882812
    125400   -0.04882812
    125500   -0.04882812
    125600   -0.04882812
    125700   -0.04882812
    125800   -0.04882812
    125900   -0.04882812
    126000   -0.04882812
    126100   -0.04882812
    126200   -0.04882812
    126300   -0.04882812
    126400   -0.04882812
    126500   -0.04882812
    126600   -0.04882812
    126700   -0.04882812
    126800   -0.04882812
    126900   -0.04882812
    127000   -0.04882812
    127100   -0.04882812
    127200   -0.04882812
    127300   -0.04882812
    127400   -0.04882812
    127500   -0.04882812
    127600   -0.04882812
    127700   -0.04882812
    127800   -0.04882812
    127900   -0.04882812
    128000   -0.04882812
    128100   -0.04882812
    128200   -0.04882812
    128300   -0.04882812
    128400   -0.04882812
    128500   -0.04882812
    128600   -0.04882812
    128700   -0.04882812
    128800   -0.04882812
    128900   -0.04882812
    129000   -0.04882812
    129100   -0.04882812
    129200   -0.04882812
    129300   -0.04882812
    129400   -0.04882812
    129500   -0.04882812
    129600   -0.04882812
    129700   -0.04882812
    129800   -0.04882812
    129900   -0.04882812
    130000   -0.04882812
    130100   -0.04882812
    130200   -0.04882812
    130300   -0.04882812
    130400   -0.04882812
    130500   -0.04882812
    130600   -0.04882812
    130700   -0.04882812
    130800   -0.04882812
    130900   -0.04882812
    131000   -0.04882812
    131100   -0.04882812
    131200   -0.04882812
    131300   -0.04882812
    131400   -0.04882812
    131500   -0.04882812
    131600   -0.04882812
    131700   -0.04882812
    131800   -0.04882812
    131900   -0.04882812
    132000   -0.04882812
    132100   -0.04882812
    132200   -0.04882812
    132300   -0.04882812
    132400   -0.04882812
    132500   -0.04882812
    132600   -0.04882812
    132700   -0.04882812
    132800   -0.04882812
    132900   -0.04882812
    133000   -0.04882812
    133100   -0.04882812
    133200   -0.04882812
    133300   -0.04882812
    133400   -0.04882812
    133500   -0.04882812
    133600   -0.04882812
    133700   -0.04882812
    133800   -0.04882812
    133900   -0.04882812
    134000   -0.04882812
    134100   -0.04882812
    134200   -0.04882812
    134300   -0.04882812
    134400   -0.04882812
    134500   -0.04882812
    134600   -0.04882812
    134700   -0.04882812
    134800   -0.04882812
    134900   -0.04882812
    135000   -0.04882812
    135100   -0.04882812
    135200   -0.04882812
    135300   -0.04882812
    135400   -0.04882812
    135500   -0.04882812
    135600   -0.04882812
    135700   -0.04882812
    135800   -0.04882812
    135900   -0.04882812
    136000   -0.04882812
    136100   -0.04882812
    136200   -0.04882812
    136300   -0.04882812
    136400   -0.04882812
    136500   -0.04882812
    136600   -0.04882812
    136700   -0.04882812
    136800   -0.04882812
    136900   -0.04882812
    137000   -0.04882812
    137100   -0.04882812
    137200   -0.04882812
    137300   -0.04882812
    137400   -0.04882812
    137500   -0.04882812
    137600   -0.04882812
    137700   -0.04882812
    137800   -0.04882812
    137900   -0.04882812
    138000   -0.04882812
    138100   -0.04882812
    138200   -0.04882812
    138300   -0.04882812
    138400   -0.04882812
    138500   -0.04882812
    138600   -0.04882812
    138700   -0.04882812
    138800   -0.04882812
    138900   -0.04882812
    139000   -0.04882812
    139100   -0.04882812
    139200   -0.04882812
    139300   -0.04882812
    139400   -0.04882812
    139500   -0.04882812
    139600   -0.04882812
    139700   -0.04882812
    139800   -0.04882812
    139900   -0.04882812
    140000   -0.04882812
    140100   -0.04882812
    140200   -0.04882812
    140300   -0.04882812
    140400   -0.04882812
    140500   -0.04882812
    140600   -0.04882812
    140700   -0.04882812
    140800   -0.04882812
    140900   -0.04882812
    141000   -0.04882812
    141100   -0.04882812
    141200   -0.04882812
    141300   -0.04882812
    141400   -0.04882812
    141500   -0.04882812
    141600   -0.04882812
    141700   -0.04882812
    141800   -0.04882812
    141900   -0.04882812
    142000   -0.04882812
    142100   -0.04882812
    142200   -0.04882812
    142300   -0.04882812
    142400   -0.04882812
    142500   -0.04882812
    142600   -0.04882812
    142700   -0.04882812
    142800   -0.04882812
    142900   -0.04882812
    143000   -0.04882812
    143100   -0.04882812
    143200   -0.04882812
    143300   -0.04882812
    143400   -0.04882812
    143500   -0.04882812
    143600   -0.04882812
    143700   -0.04882812
    143800   -0.04882812
    143900   -0.04882812
    144000   -0.04882812
    144100   -0.04882812
    144200   -0.04882812
    144300   -0.04882812
    144400   -0.04882812
    144500   -0.04882812
    144600   -0.04882812
    144700   -0.04882812
    144800   -0.04882812
    144900   -0.04882812
    145000   -0.04882812
    145100   -0.04882812
    145200   -0.04882812
    145300   -0.04882812
    145400   -0.04882812
    145500   -0.04882812
    145600   -0.04882812
    145700   -0.04882812
    145800   -0.04882812
    145900   -0.04882812
    146000   -0.04882812
    146100   -0.04882812
    146200   -0.04882812
    146300   -0.04882812
    146400   -0.04882812
    146500   -0.04882812
    146600   -0.04882812
    146700   -0.04882812
    146800   -0.04882812
    146900   -0.04882812
    147000   -0.04882812
    147100   -0.04882812
    147200   -0.04882812
    147300   -0.04882812
    147400   -0.04882812
    147500   -0.04882812
    147600   -0.04882812
    147700   -0.04882812
    147800   -0.04882812
    147900   -0.04882812
    148000   -0.04882812
    148100   -0.04882812
    148200   -0.04882812
    148300   -0.04882812
    148400   -0.04882812
    148500   -0.04882812
    148600   -0.04882812
